title,singer,bilibili_url,bvid,page,start_seconds,end_seconds,duration_seconds,cover_url
云烟成雨,房东的猫,https://www.bilibili.com/video/BV1pr6aYiE97/?p=28,BV1pr6aYiE97,28,,,241,https://i2.hdslb.com/bfs/storyff/n241229sa2rdg50im75d7717mocqruvj_firsti.jpg
千千万万,深海鱼子酱,https://www.bilibili.com/video/BV1pr6aYiE97/?p=29,BV1pr6aYiE97,29,,,247,https://i2.hdslb.com/bfs/storyff/n241229sa3js3bahwu9v2hu2mbjphvhe_firsti.jpg
飞鸟和蝉,任然,https://www.bilibili.com/video/BV1pr6aYiE97/?p=30,BV1pr6aYiE97,30,,,297,https://i0.hdslb.com/bfs/storyff/n241229sa2rn1y8ii2t3al1cngsvicq8_firsti.jpg
那女孩对我说,Uu (刘梦妤),https://www.bilibili.com/video/BV1pr6aYiE97/?p=31,BV1pr6aYiE97,31,,,281,https://i1.hdslb.com/bfs/storyff/n241229sa3r9yspb9hvohq204z6h3etr_firsti.jpg
热爱105°C的你,阿肆,https://www.bilibili.com/video/BV1pr6aYiE97/?p=32,BV1pr6aYiE97,32,,,196,https://i1.hdslb.com/bfs/storyff/n241229sa2n7x53ee3x2yqty8jwfmw3a_firsti.jpg
白月光与朱砂痣,大籽,https://www.bilibili.com/video/BV1pr6aYiE97/?p=33,BV1pr6aYiE97,33,,,205,https://i2.hdslb.com/bfs/storyff/n241229sa3urdhhegf43cs3vn79bzuir_firsti.jpg
这世界那么多人,莫文蔚,https://www.bilibili.com/video/BV1pr6aYiE97/?p=34,BV1pr6aYiE97,34,,,287,https://i2.hdslb.com/bfs/storyff/n241229sa429t2t8p0w7v2bc3g5271pf_firsti.jpg
把回忆拼好给你,cici_,https://www.bilibili.com/video/BV1pr6aYiE97/?p=35,BV1pr6aYiE97,35,,,205,https://i2.hdslb.com/bfs/storyff/n241229sa32cs1hnz3gbb93s3hfwq3e2_firsti.jpg
永不失联的爱 (Live),单依纯,https://www.bilibili.com/video/BV1pr6aYiE97/?p=36,BV1pr6aYiE97,36,,,264,https://i0.hdslb.com/bfs/storyff/n241229sawx3gg6olevz11pfc3okx513_firsti.jpg
空空如也,任然,https://www.bilibili.com/video/BV1pr6aYiE97/?p=37,BV1pr6aYiE97,37,,,214,https://i1.hdslb.com/bfs/storyff/n241229sa14u9un5joabx12dopryp11w_firsti.jpg
去年夏天,王大毛,https://www.bilibili.com/video/BV1pr6aYiE97/?p=38,BV1pr6aYiE97,38,,,246,https://i2.hdslb.com/bfs/storyff/n241229sa2h83jg7r0q1op35n7gklmcr_firsti.jpg
胆小鬼,梁咏琪,https://www.bilibili.com/video/BV1pr6aYiE97/?p=39,BV1pr6aYiE97,39,,,261,https://i2.hdslb.com/bfs/storyff/n241229sa1xnrvgl3v706619eme3jhdz_firsti.jpg
身骑白马,徐佳莹,https://www.bilibili.com/video/BV1pr6aYiE97/?p=40,BV1pr6aYiE97,40,,,314,https://i0.hdslb.com/bfs/storyff/n241229sa2xrsxkz44kspf169kt0gd5v_firsti.jpg
讲真的,曾惜,https://www.bilibili.com/video/BV1pr6aYiE97/?p=41,BV1pr6aYiE97,41,,,240,https://i0.hdslb.com/bfs/storyff/n241229sa5tf5x0eexv09efakh3w9ulr_firsti.jpg
一直很安静,阿桑,https://www.bilibili.com/video/BV1pr6aYiE97/?p=42,BV1pr6aYiE97,42,,,248,https://i2.hdslb.com/bfs/storyff/n241229sa3rlcb63mw0pax30bwkjvns5_firsti.jpg
你的酒馆对我打了烊,陈雪凝,https://www.bilibili.com/video/BV1pr6aYiE97/?p=43,BV1pr6aYiE97,43,,,252,https://i0.hdslb.com/bfs/storyff/n241229sa24rjga6dfmmhm30ovnyy16g_firsti.jpg
最初的梦想,范玮琪,https://www.bilibili.com/video/BV1pr6aYiE97/?p=44,BV1pr6aYiE97,44,,,297,https://i0.hdslb.com/bfs/storyff/n241229sa2zr8vh45iw83n3m0byhr52b_firsti.jpg
勇气,梁静茹,https://www.bilibili.com/video/BV1pr6aYiE97/?p=45,BV1pr6aYiE97,45,,,240,https://i0.hdslb.com/bfs/storyff/n241229sa1a1zo80f6eg8m3t01kd4brj_firsti.jpg
我们的纪念,李雅微,https://www.bilibili.com/video/BV1pr6aYiE97/?p=46,BV1pr6aYiE97,46,,,281,https://i1.hdslb.com/bfs/storyff/n241229sa23o9zspuhhon928tekeufe9_firsti.jpg
星月神话,金莎,https://www.bilibili.com/video/BV1pr6aYiE97/?p=47,BV1pr6aYiE97,47,,,249,https://i1.hdslb.com/bfs/storyff/n241229saqe7t4hcuj5qb297xviwilzu_firsti.jpg
突然想起你,萧亚轩,https://www.bilibili.com/video/BV1pr6aYiE97/?p=48,BV1pr6aYiE97,48,,,235,https://i2.hdslb.com/bfs/storyff/n241229sa9m19a1ce2of43a4z87tp3xu_firsti.jpg
九张机,叶炫清,https://www.bilibili.com/video/BV1pr6aYiE97/?p=49,BV1pr6aYiE97,49,,,221,https://i2.hdslb.com/bfs/storyff/n241229sa2eltgurlu7hsg2tvz0z2snh_firsti.jpg
半壶纱,刘珂矣,https://www.bilibili.com/video/BV1pr6aYiE97/?p=50,BV1pr6aYiE97,50,,,223,https://i2.hdslb.com/bfs/storyff/n241229sa3a3ejr45syi3m1vakd06pcq_firsti.jpg
风筝误,刘珂矣,https://www.bilibili.com/video/BV1pr6aYiE97/?p=51,BV1pr6aYiE97,51,,,239,https://i2.hdslb.com/bfs/storyff/n241229sa18481o97zabz63ayjt23yg9_firsti.jpg
遇见,孙燕姿,https://www.bilibili.com/video/BV1pr6aYiE97/?p=52,BV1pr6aYiE97,52,,,211,https://i1.hdslb.com/bfs/storyff/n241229sa2ibrqt6g3anqj24dz92ujgf_firsti.jpg
我爱他,丁当,https://www.bilibili.com/video/BV1pr6aYiE97/?p=53,BV1pr6aYiE97,53,,,283,https://i0.hdslb.com/bfs/storyff/n241229sa18kvrv6gohzj75hupv5mwhi_firsti.jpg
空白格,蔡健雅,https://www.bilibili.com/video/BV1pr6aYiE97/?p=54,BV1pr6aYiE97,54,,,253,https://i0.hdslb.com/bfs/storyff/n241229sa1k95vlt008tbg2mjb78nzf0_firsti.jpg
